Destination,Origin,Flow
ABJ,GYD,504
ABJ,GYE,102
ABJ,HAJ,340
ABJ,HAM,364
ABJ,HAN,505
ABJ,HAV,160
ABJ,HER,213
ABJ,HKG,159
ABJ,HRE,1595
ABJ,HRG,598
ABJ,IAD,112
ABJ,ICN,101
ABJ,IKA,343
ABJ,INC,576
ABJ,ISB,218
ABJ,IST,1531
ABJ,JAI,675
ABJ,JED,780
ABJ,JFK,227
ABJ,JIB,4566
ABJ,JJN,361
ABJ,JNB,1500
ABJ,JOS,471
ABJ,JRO,282
ABJ,KAD,1393
ABJ,KAN,585
ABJ,KBL,1628
ABJ,KBP,601
ABJ,KCH,328
ABJ,KEF,234
ABJ,KGA,168
ABJ,KGL,641
ABJ,KIN,121
ABJ,KIS,466
ABJ,KIV,2573
ABJ,KMS,363
ABJ,KRK,721
ABJ,KRT,680
ABJ,KUL,200
ABJ,LAD,677
ABJ,LBA,407
ABJ,LBD,318
ABJ,LBV,149
ABJ,LCY,202
ABJ,LED,215
ABJ,LEI,123
ABJ,LEJ,130
ABJ,LEN,112
ABJ,LFW,25130
ABJ,LGW,771
ABJ,LHE,636
ABJ,LHR,1652
ABJ,LIG,161
ABJ,LIL,309
ABJ,LIN,330
ABJ,LIR,584
ABJ,LIS,803
ABJ,LJU,191
ABJ,LLW,370
ABJ,LOS,27270
ABJ,LPA,153
ABJ,LPB,245
ABJ,LPL,184
ABJ,LRM,476
ABJ,LTN,158
ABJ,LUN,3366
ABJ,LWO,278
ABJ,LXR,975
ABJ,LYG,384
ABJ,LYS,267
ABJ,MAA,265
ABJ,MAD,811
ABJ,MAN,159
ABJ,MBA,9399
ABJ,MDK,156
ABJ,MES,164
ABJ,MEX,217
ABJ,MGQ,191
ABJ,MJM,247
ABJ,MLA,2215
ABJ,MLE,117
ABJ,MLH,143
ABJ,MLW,507
ABJ,MPL,175
ABJ,MPM,982
ABJ,MRS,24662
ABJ,MSQ,160
ABJ,MUC,468
ABJ,MWZ,931
ABJ,MXP,744
ABJ,MZI,250
ABJ,NAP,818
ABJ,NAT,192
ABJ,NBO,24973
ABJ,NCE,368
ABJ,NCL,259
ABJ,NDJ,131
ABJ,NDR,1065
ABJ,NIM,13726
ABJ,NKC,417
ABJ,NLA,254
ABJ,NSI,2998
ABJ,NTE,570
ABJ,NUE,152
ABJ,ODS,594
ABJ,OPO,704
ABJ,ORK,118
ABJ,ORN,3356
ABJ,ORY,3404
ABJ,OTP,550
ABJ,OUA,15942
ABJ,OUD,276
ABJ,OVD,280
ABJ,PAP,589
ABJ,PEK,1057
ABJ,PEN,161
ABJ,PEW,601
ABJ,PHC,2780
ABJ,PHG,1104
ABJ,PMI,301
ABJ,PMO,650
ABJ,PNH,1995
ABJ,PNQ,467
ABJ,PNR,721
ABJ,POL,127
ABJ,POP,155
ABJ,PRG,737
ABJ,PTP,279
ABJ,PVG,220
ABJ,QOW,762
ABJ,QRW,624
ABJ,QSF,243
ABJ,RAI,4566
ABJ,RAK,2315
ABJ,RBA,448
ABJ,REC,254
ABJ,REP,1488
ABJ,RIX,318
ABJ,RNS,144
ABJ,ROB,23675
ABJ,RUH,542
ABJ,RUN,885
ABJ,SAP,529
ABJ,SAW,475
ABJ,SCL,421
ABJ,SDQ,148
ABJ,SFA,105
ABJ,SGN,372
ABJ,SHJ,475
ABJ,SIN,737
ABJ,SIP,443
ABJ,SJJ,147
ABJ,SJO,114
ABJ,SKG,909
ABJ,SOF,1407
ABJ,SPU,505
ABJ,SSG,126
ABJ,STN,157
ABJ,STR,118
ABJ,SUB,278
ABJ,SVO,329
ABJ,SVQ,695
ABJ,SWA,241
ABJ,SXB,892
ABJ,SXF,526
ABJ,SYZ,214
ABJ,SZG,247
ABJ,TAS,612
ABJ,TBS,327
ABJ,TBZ,385
ABJ,TFS,172
ABJ,TGD,1279
ABJ,TIA,131
ABJ,TIP,4070
ABJ,TLL,239
ABJ,TLS,801
ABJ,TLV,1357
ABJ,TML,158
ABJ,TNG,399
ABJ,TNR,1389
ABJ,TOM,112
ABJ,TPE,132
ABJ,TRN,329
ABJ,TRV,1056
ABJ,TXL,552
ABJ,UFA,126
ABJ,ULN,1027
ABJ,UPG,501
ABJ,VAR,291
ABJ,VCE,396
ABJ,VGO,102
ABJ,VIE,754
ABJ,VLC,1314
ABJ,VLL,163
ABJ,VNO,707
ABJ,VRN,201
ABJ,VTE,1494
ABJ,VVI,293
ABJ,WAW,231
ABJ,WEH,376
ABJ,WIL,601
ABJ,WUS,104
ABJ,XUZ,415
ABJ,YCU,830
ABJ,YIH,645
ABJ,YQB,232
ABJ,YUL,239
ABJ,YYC,107
ABJ,YYZ,139
ABJ,ZAG,403
ABJ,ZAZ,104
ABJ,ZNZ,608
ABJ,ZRH,295
ABQ,ABV,101
ABQ,ACA,608
ABQ,ANC,142
ABQ,ATL,100215
ABQ,AUS,405
ABQ,BDL,355
ABQ,BEL,251
ABQ,BHM,363
ABQ,BKO,163
ABQ,BNA,688
ABQ,BOG,159
ABQ,BOI,187
ABQ,BOS,525
ABQ,BUF,309
ABQ,BUR,302
ABQ,BWI,65869
ABQ,BZV,914
ABQ,CDG,114
ABQ,CLE,600
ABQ,CLT,489
ABQ,CUN,160
ABQ,CUU,150
ABQ,CVG,419
ABQ,DAL,70537
ABQ,DAY,157
ABQ,DCA,824
ABQ,DEN,67819
ABQ,DFW,45760
ABQ,DSM,102
ABQ,DTW,749
ABQ,ELP,14569
ABQ,EWR,336
ABQ,FIH,936
ABQ,FLL,340
ABQ,FOR,483
ABQ,GDL,129
ABQ,GEG,480
ABQ,GRR,123
ABQ,GRU,107
ABQ,GUA,1337
ABQ,GYE,303
ABQ,HNL,340
ABQ,HOU,44156
ABQ,HRE,574
ABQ,IAD,36962
ABQ,IAH,47248
ABQ,ICN,111
ABQ,IND,542
ABQ,JFK,349
ABQ,JIB,889
ABQ,KBL,118
ABQ,KIN,155
ABQ,LAS,51209
ABQ,LAX,97054
ABQ,LBB,20534
ABQ,LBD,116
ABQ,LFW,281
ABQ,LGA,295
ABQ,LHR,260
ABQ,LIR,310
ABQ,LIT,278
ABQ,LUN,137
ABQ,MAF,16183
ABQ,MAO,217
ABQ,MBA,605
ABQ,MCI,48479
ABQ,MCO,54663
ABQ,MDW,66927
ABQ,MEM,251
ABQ,MEX,403
ABQ,MHT,215
ABQ,MIA,346
ABQ,MKE,542
ABQ,MSP,61190
ABQ,MSY,713
ABQ,NRT,197
ABQ,OAK,67503
ABQ,OKC,230
ABQ,OMA,160
ABQ,ONT,298
ABQ,ORD,42054
ABQ,ORF,418
ABQ,OUA,259
ABQ,PAP,559
ABQ,PEK,288
ABQ,PHL,357
ABQ,PHX,93531
ABQ,PIT,588
ABQ,PNH,109
ABQ,PVD,193
ABQ,RDU,685
ABQ,RIC,158
ABQ,RNO,177
ABQ,ROC,149
ABQ,SAN,71219
ABQ,SAP,751
ABQ,SAT,308
ABQ,SDF,270
ABQ,SEA,66443
ABQ,SFO,21122
ABQ,SHV,111
ABQ,SJC,265
ABQ,SJO,151
ABQ,SJU,130
ABQ,SLC,37692
ABQ,SMF,575
ABQ,SNA,360
ABQ,STL,49097
ABQ,TLC,107
ABQ,TPA,1008
ABQ,TUL,132
ABQ,TUS,13579
ABQ,UIO,687
ABQ,YVR,101
ABQ,YYC,109
ABQ,YYZ,170
ABV,ABJ,3567
ABV,ABQ,101
ABV,ABZ,1760
ABV,ACC,21372
ABV,ACE,2355
ABV,ADB,2680
ABV,ADD,20758
ABV,AGA,2355
ABV,AGP,3001
